batter_runs,batter_balls,wickets,target_left,balls_left,non_striker_runs,non_striker_balls,partnership_runs,partnership_balls,partnership_boundaries,partnership_dots,team_runs,team_balls,batter_group,non_striker_group,intent,risk
50,20,5,70,27,2,1,10,4,1,0,190,93,2,3,3,3
75,31,6,18,2,18,11,28,18,2,7,234,118,2,4,3,3
4,3,3,203,102,14,5,15,6,3,2,32,18,2,2,3,3
20,11,3,189,92,12,7,29,16,4,6,46,28,2,2,3,3
17,14,5,36,12,25,14,36,24,6,14,189,108,2,3,3,2
38,20,2,39,13,95,49,92,47,10,12,204,107,2,1,3,3
17,11,3,114,75,37,23,30,21,4,7,63,45,2,1,3,2
12,6,3,47,87,7,5,14,8,1,1,49,33,2,2,3,1
18,9,5,33,78,0,1,0,1,0,1,63,42,2,3,3,1
32,18,2,88,55,44,31,55,33,7,13,87,65,2,1,3,1
31,22,3,16,1,1,2,4,5,0,2,182,119,2,2,3,1
2,11,4,96,66,0,0,0,0,0,0,89,54,2,3,3,2
58,44,7,6,1,5,6,9,14,1,9,179,119,2,4,3,1
58,29,3,45,50,8,6,63,34,10,15,121,70,2,2,3,1
14,7,4,34,11,0,1,0,2,0,2,189,109,2,3,3,3
28,10,2,58,73,41,17,46,16,7,3,112,47,2,1,3,1
15,4,4,156,102,0,0,0,0,0,0,26,18,2,3,3,2
15,5,2,103,80,27,14,17,7,2,2,72,40,2,1,3,1
55,20,5,48,18,0,0,0,0,0,0,189,102,2,3,3,2
32,19,3,33,12,10,8,18,13,2,6,186,108,2,2,3,2
24,9,4,115,72,2,3,9,6,1,3,54,48,2,3,3,2
24,16,3,15,25,85,35,56,26,9,11,161,95,2,1,2,1
12,6,2,107,79,47,18,21,10,3,5,85,41,2,1,2,2
4,2,4,92,65,6,5,10,6,1,2,100,55,2,3,2,1
18,10,5,78,51,0,0,2,3,0,2,114,69,2,3,2,2
21,11,2,6,30,78,41,58,30,6,9,170,90,2,1,2,1
22,17,4,126,50,8,5,8,5,1,2,110,70,2,3,2,3
21,14,2,75,42,50,31,47,25,6,11,111,78,2,1,2,2
25,16,3,68,31,3,4,6,5,0,2,118,89,2,2,2,2
15,10,3,34,14,47,27,40,22,5,8,152,106,2,2,2,2
54,32,3,19,4,23,15,55,32,8,14,167,116,2,2,2,3
10,6,2,114,72,40,26,29,16,3,4,61,48,2,1,2,1
25,16,2,3,10,43,35,64,44,8,20,175,110,2,1,2,1
50,33,6,19,19,26,18,56,32,8,16,166,101,2,4,2,1
19,9,4,95,74,2,1,14,5,2,1,79,46,2,3,2,1
32,17,4,81,65,3,2,28,14,4,5,93,55,2,3,2,1
18,9,3,93,75,0,1,15,9,2,5,73,45,2,2,2,1
30,18,3,75,63,6,4,33,21,5,11,91,57,2,2,2,1
20,10,3,82,58,14,7,14,7,2,2,104,62,2,2,2,1
10,5,2,100,63,19,18,11,8,2,3,91,57,2,1,2,3
51,37,4,40,17,12,8,24,15,4,10,168,103,2,3,2,2
31,12,2,60,63,50,29,51,20,9,7,110,57,2,1,2,1
20,7,2,79,79,28,14,25,10,4,3,91,41,2,1,2,1
14,8,3,26,6,0,0,0,0,0,0,223,114,2,2,2,3
14,4,3,58,67,4,1,14,4,3,1,116,53,2,2,1,1
17,7,3,38,57,21,8,34,14,6,5,136,63,2,2,1,1
0,0,2,72,62,43,22,0,0,0,0,106,58,2,1,1,1
6,5,5,25,35,0,0,0,1,0,1,153,85,2,3,1,1
5,6,3,132,70,40,21,12,8,1,3,76,50,2,1,1,2
17,17,3,116,56,44,24,28,22,4,12,92,64,2,1,1,2
7,13,2,91,63,39,17,27,19,4,10,85,57,2,1,1,2
5,6,3,56,43,63,27,15,8,3,4,120,77,2,1,1,1
5,5,3,178,87,18,11,7,7,1,4,58,33,2,1,1,2
5,4,2,148,101,23,10,16,10,1,3,29,19,2,1,1,2
6,6,3,136,85,26,18,8,11,0,5,41,35,2,1,1,1
3,3,3,57,91,6,4,4,4,0,1,39,29,2,2,1,1
0,4,2,98,57,48,26,24,10,4,5,88,63,2,1,1,2
12,9,2,35,32,24,20,32,22,3,8,143,88,2,1,1,1
2,8,2,104,75,55,18,24,14,4,8,81,45,2,1,1,1
20,20,6,67,46,8,4,8,5,1,2,118,74,2,4,1,1
28,28,6,51,32,16,10,24,19,3,10,134,88,2,4,1,2
32,17,3,10,30,69,38,98,54,14,23,156,90,2,2,1,1
19,16,3,75,48,13,8,24,15,3,6,113,72,2,2,1,2
10,5,2,65,52,62,31,22,11,3,5,119,68,2,1,1,1
13,7,8,73,54,0,0,0,0,0,0,92,66,2,4,1,3
32,13,8,54,48,0,0,19,6,3,1,111,72,2,4,1,3
