batter_runs,batter_balls,wickets,target_left,balls_left,non_striker_runs,non_striker_balls,partnership_runs,partnership_balls,partnership_boundaries,partnership_dots,team_runs,team_balls,batter_group,non_striker_group,intent,risk
45,17,6,16,1,74,39,68,28,10,9,235,119,4,1,3,2
34,39,6,68,3,73,38,68,58,9,30,161,117,4,1,3,3
31,31,6,74,14,70,35,62,47,9,24,155,106,4,1,3,2
31,20,9,39,5,84,44,43,26,5,8,167,115,4,1,3,3
30,28,6,76,18,69,34,60,43,9,22,153,102,4,1,3,2
30,17,9,43,7,57,43,58,36,8,16,145,113,4,1,3,3
26,17,6,59,20,83,50,48,23,6,9,160,100,4,1,3,2
25,11,6,109,78,28,15,40,20,5,6,71,42,4,1,3,3
24,9,6,48,17,61,31,34,12,6,4,201,103,4,1,3,2
23,22,6,37,14,48,36,53,43,5,17,137,106,4,1,3,3
18,8,9,56,19,80,42,26,12,3,1,150,101,4,1,3,3
41,13,9,31,9,50,36,65,32,9,10,209,111,4,2,3,1
38,28,6,34,12,88,48,89,60,8,25,178,108,4,2,3,2
37,27,6,36,13,88,48,88,59,8,25,177,107,4,2,3,1
36,26,6,7,1,56,35,83,53,10,22,172,119,4,2,3,2
32,35,6,5,1,69,37,90,63,13,32,180,119,4,2,3,2
31,22,6,48,20,85,46,79,52,8,22,168,100,4,2,3,2
29,27,8,48,13,27,27,43,44,6,26,132,107,4,2,3,3
20,23,6,43,16,24,27,37,42,4,27,125,104,4,2,3,1
17,17,6,25,6,55,29,45,28,7,15,148,114,4,2,3,3
9,6,6,100,21,60,38,14,12,2,5,124,99,4,2,3,3
43,37,6,18,7,55,40,78,64,7,32,151,113,4,3,3,2
22,9,6,26,7,19,13,34,16,5,4,184,113,4,3,3,1
21,16,7,88,45,30,20,30,26,5,14,120,75,4,3,3,3
20,13,9,56,26,37,29,37,30,4,17,118,94,4,3,3,3
19,20,8,57,23,54,23,49,29,5,11,128,97,4,3,3,3
2,4,8,89,12,30,23,3,5,0,2,126,108,4,3,3,3
0,0,8,118,62,9,4,0,0,0,0,65,58,4,3,3,3
57,35,7,19,3,36,23,80,43,11,16,190,117,4,4,3,2
56,25,8,50,29,21,26,72,48,12,20,137,91,4,4,3,1
53,48,7,52,10,9,19,45,58,5,36,111,110,4,4,3,2
52,48,8,27,2,26,20,37,27,5,13,134,118,4,4,3,2
51,29,7,7,19,13,21,64,50,8,26,120,101,4,4,3,1
46,34,9,32,7,6,6,13,14,1,8,143,113,4,4,3,2
45,29,7,59,19,16,25,58,50,8,25,137,101,4,4,3,2
42,19,8,66,37,19,24,56,40,9,19,121,83,4,4,3,2
41,25,8,35,6,8,14,18,17,2,11,150,114,4,4,3,3
38,30,7,56,34,10,7,39,33,4,18,110,86,4,4,3,2
36,17,8,13,2,12,13,39,18,6,5,194,118,4,4,3,3
32,17,7,28,7,12,7,40,21,6,9,213,113,4,4,3,3
22,16,7,81,35,15,12,23,21,3,13,117,85,4,4,3,3
17,18,9,40,24,0,0,0,0,0,0,124,96,4,4,3,3
13,7,8,79,34,2,8,9,13,1,9,103,86,4,4,3,3
13,11,8,78,34,5,8,7,13,0,8,126,86,4,4,3,1
11,12,7,54,26,18,9,21,14,3,4,127,94,4,4,3,3
6,11,9,49,16,1,2,2,7,0,5,126,104,4,4,3,3
4,7,8,133,47,3,3,7,10,0,3,102,73,4,4,3,3
46,33,6,3,6,45,38,76,56,10,26,146,114,4,1,2,1
45,26,6,16,21,33,30,63,41,8,16,133,99,4,1,2,1
43,24,6,40,32,41,24,57,30,7,8,140,88,4,1,2,1
35,34,7,28,9,80,42,83,55,7,20,145,111,4,1,2,2
32,29,6,28,14,80,52,87,69,12,33,134,106,4,1,2,2
32,18,6,30,32,32,27,49,30,6,11,119,88,4,1,2,2
32,29,7,33,16,78,40,78,48,7,16,140,104,4,1,2,2
31,18,6,61,41,32,21,36,21,4,7,119,79,4,1,2,2
29,17,6,63,42,32,21,34,20,4,7,117,78,4,1,2,2
29,28,6,28,18,42,31,62,47,6,24,136,102,4,1,2,3
27,12,9,50,18,53,37,51,25,8,11,138,102,4,1,2,2
27,21,6,28,25,57,35,63,45,8,20,142,95,4,1,2,3
24,10,6,116,80,22,14,33,18,4,6,64,40,4,1,2,3
24,11,7,37,18,73,47,33,26,4,12,141,102,4,1,2,2
