batter_runs,batter_balls,wickets,target_left,balls_left,non_striker_runs,non_striker_balls,partnership_runs,partnership_balls,partnership_boundaries,partnership_dots,team_runs,team_balls,batter_group,non_striker_group,intent,risk
0,0,0,174,120,0,0,0,0,0,0,0,0,1,1,3.0,2
6,6,1,166,111,2,2,7,7,0,2,8,9,1,1,3.0,3
22,11,1,147,104,5,4,26,14,2,2,27,16,1,1,2.0,1
36,15,1,132,99,6,5,41,19,5,3,42,21,1,1,3.0,3
7,6,1,124,96,43,17,49,22,6,3,50,24,1,1,1.0,1
14,8,1,98,84,62,27,75,34,9,6,76,36,1,1,2.0,1
67,30,1,86,77,21,12,87,41,11,9,88,43,1,1,1.0,1
21,12,2,72,72,4,1,4,1,1,0,102,48,1,2,1.0,1
0,0,1,225,113,9,3,0,0,0,0,10,7,1,1,3.0,3
9,3,2,218,109,3,2,3,2,0,1,17,11,1,2,3.0,2
11,5,0,156,110,11,5,22,10,4,4,22,10,1,1,2.0,1
6,1,1,143,104,11,5,6,1,1,0,35,16,1,1,3.0,3
41,18,1,76,70,43,22,73,35,9,11,102,50,1,1,3.0,1
45,24,1,73,67,42,19,76,38,9,12,105,53,1,1,3.0,1
43,22,2,70,60,2,2,2,2,0,1,108,60,1,2,2.0,2
54,27,2,45,50,16,7,27,12,4,4,133,70,1,2,2.0,1
58,30,3,31,41,6,4,8,5,1,3,147,79,1,2,2.0,1
6,5,0,202,115,0,0,6,5,1,4,6,5,1,1,2.0,1
15,11,0,184,105,9,4,24,15,3,8,24,15,1,1,2.0,3
26,11,1,163,94,2,2,19,9,2,2,45,26,1,1,3.0,3
2,2,1,162,91,27,14,20,12,2,4,46,29,1,1,1.0,1
2,3,1,159,88,30,16,23,15,2,6,49,32,1,1,1.0,2
30,16,2,154,85,5,2,5,2,1,0,54,35,1,2,3.0,2
32,18,2,151,82,6,3,8,5,1,1,57,38,1,2,2.0,3
33,19,3,144,78,0,0,0,0,0,0,64,42,1,2,3.0,2
48,25,3,112,53,17,19,32,25,5,14,96,67,1,2,2.0,3
64,30,3,95,45,18,22,49,33,8,18,113,75,1,2,3.0,3
66,34,4,81,35,12,4,13,7,1,2,127,85,1,3,3.0,3
76,44,4,61,23,22,6,33,19,4,7,147,97,1,3,2.0,2
102,51,4,34,15,23,7,60,27,8,7,174,105,1,3,2.0,3
80,43,2,53,21,31,18,70,39,7,11,182,99,1,2,3.0,2
39,30,6,51,17,2,3,2,3,0,1,140,103,1,4,3.0,3
48,37,6,41,6,3,7,12,14,0,7,150,114,1,4,3.0,2
53,39,6,35,1,4,10,18,19,1,9,156,119,1,4,3.0,1
84,43,6,14,31,7,11,36,20,4,7,156,89,1,4,2.0,1
90,45,6,1,27,14,13,49,24,6,8,169,93,1,4,3.0,1
1,1,2,126,81,4,5,4,5,0,3,51,39,1,2,3.0,2
50,24,0,87,67,47,29,97,53,13,16,97,53,1,1,2.0,1
90,49,3,11,12,6,5,6,5,1,3,173,108,1,2,2.0,1
52,20,0,143,88,6,12,58,32,9,15,58,32,1,1,3.0,1
45,25,2,91,38,15,11,43,24,6,11,165,82,1,2,3.0,2
55,29,2,105,54,0,3,0,3,0,3,114,66,1,2,3.0,2
33,24,6,90,66,0,1,0,1,0,1,79,54,1,4,2.0,3
53,33,6,64,51,6,7,26,16,5,7,105,69,1,4,2.0,3
67,43,6,41,33,15,15,49,34,8,12,128,87,1,4,2.0,2
90,49,6,13,10,1,1,1,1,0,0,166,110,1,4,2.0,2
52,22,6,50,59,3,7,5,8,0,5,115,61,1,4,3.0,3
66,29,6,35,49,4,10,20,18,2,10,130,71,1,4,3.0,2
66,30,7,32,44,3,1,3,1,0,0,133,76,1,4,1.0,2
54,35,8,40,30,10,9,36,24,5,13,129,90,1,4,2.0,3
46,45,7,35,27,0,0,7,9,0,5,125,93,1,4,2.0,3
105,45,6,26,6,0,5,0,5,0,5,209,114,1,4,2.0,3
55,36,0,74,51,54,33,109,69,14,27,109,69,1,1,2.0,1
18,20,0,176,80,42,20,60,40,7,15,60,40,1,1,3.0,1
105,58,6,27,11,0,0,2,1,0,0,169,109,1,4,2.0,2
53,24,0,168,76,24,20,77,44,9,15,77,44,1,1,3.0,1
83,41,7,53,46,1,1,1,1,0,0,125,74,1,4,2.0,3
33,22,0,164,85,18,13,51,35,6,15,51,35,1,1,3.0,1
40,21,0,137,73,38,26,78,47,10,18,78,47,1,1,3.0,1
72,40,6,49,40,2,7,2,7,0,5,114,80,1,4,2.0,2
111,56,6,2,19,10,12,49,28,6,9,161,101,1,4,3.0,1
60,25,6,18,28,3,2,8,5,1,2,171,92,1,4,2.0,2
97,58,6,26,7,21,18,46,33,5,13,164,113,1,4,3.0,3
47,23,6,80,65,6,5,7,7,1,5,84,55,1,4,2.0,2
